Gene	PDX080	PDX085	PDX090	PDX089	PDX092	PDX323	PDX641	PDX644
A1BG	65	44	54	72	61	69	80	41
A1BG-AS1	38	32	53	60	78	63	67	48
A1CF	0	0	4	14	130	152	141	180
A2M	5	2	23	28	47	42	37	28
A2M-AS1	31	41	26	26	18	29	30	16
A2ML1	13	4	12	10	14	12	12	6
A2MP1	0	4	3	10	7	8	6	1
A3GALT2	0	3	0	0	0	1	1	0
A4GALT	6	5	211	207	230	199	81	90
A4GNT	0	0	0	0	0	1	0	0
AA06	0	0	1	0	0	1	0	0
AAAS	557	411	341	404	376	341	404	330
AACS	704	491	467	626	861	687	957	733
AACSP1	15	1	5	2	3	2	4	1
AADAC	2	1	22	17	33	34	13	7
AADACL2	0	0	2	3	5	16	1	4
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0
AADAT	42	94	184	187	206	195	214	193
AAED1	23	20	48	52	95	60	69	68
AAGAB	3846	3047	2467	2561	3177	2293	2758	2428
AAK1	1108	856	1342	1339	1759	1571	1407	1377
AAMDC	92	91	60	79	72	66	78	70
AAMP	3122	1503	1311	1635	1706	1431	1900	1442
AANAT	2	1	0	3	0	0	2	0
AAR2	743	537	454	554	689	519	698	617
AARD	48	14	18	22	43	42	31	39
AARS	3348	2361	2345	2819	3154	2531	4059	3639
AARS2	294	259	268	325	284	250	278	224
AARSD1	3	3	1	3	2	0	2	0
AASDH	771	704	639	747	884	680	695	561
AASDHPPT	503	440	342	381	579	399	506	565
AASS	36	30	25	61	49	59	66	52
AATBC	1	0	2	4	4	0	5	3
AATF	872	704	766	860	934	866	1256	901
AATK	336	273	286	358	405	384	402	357
AATK-AS1	2	2	4	4	4	3	5	3
ABAT	42	39	118	116	160	123	148	121
ABCA1	1010	751	483	616	948	947	1868	1330
ABCA10	214	411	248	251	428	309	196	135
ABCA11P	257	276	314	331	367	358	248	188
ABCA12	12845	3880	3175	3943	3142	2434	1282	967
ABCA13	1	0	8	4	6	3	13	9
ABCA17P	20	15	17	25	21	20	34	14
ABCA2	541	442	2111	2615	3366	3137	1619	1469
ABCA3	889	977	2271	2006	2646	2005	1791	1750
ABCA4	6	4	1	5	5	5	2	3
ABCA5	1865	2770	1736	1988	2875	2348	2135	1930
ABCA6	74	195	78	85	74	92	56	52
ABCA7	109	141	148	168	158	114	114	100
ABCA8	3	2	1	0	5	0	3	17
ABCA9	20	46	29	29	37	30	24	18
ABCB1	2	0	4	2	2	4	4	7
ABCB10	857	773	629	713	839	696	679	669
ABCB11	0	2	14	13	16	22	18	11
ABCB4	11	10	8	4	5	9	14	7
ABCB5	0	2	0	1	1	0	0	0
ABCB6	1115	644	763	835	737	591	572	454
ABCB7	416	406	272	246	332	258	290	268
ABCB8	998	708	1146	1589	1298	1165	1058	706
ABCB9	146	92	79	85	119	117	147	76
ABCC1	941	635	821	1046	1060	912	781	714
ABCC10	192	194	319	404	307	324	250	170
ABCC11	614	112	22	44	32	32	48	29
ABCC12	11	11	1	2	1	2	1	1
ABCC13	0	0	7	5	11	8	11	26
ABCC2	742	428	172	244	150	113	57	41
ABCC3	135	119	104	199	139	115	43	36
ABCC4	14	21	28	24	98	43	100	125
ABCC5	1225	784	738	825	946	831	932	823
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	24	18	9	9	8	7	8	4
ABCC6P1	1	8	0	1	1	1	3	2
ABCC6P2	0	0	0	0	0	0	0	0
ABCC8	376	180	430	598	1170	1036	1281	777
ABCC9	6	7	3	0	3	4	3	2
ABCD1	363	184	90	152	115	123	110	85
ABCD2	3	11	4	7	12	6	16	11
ABCD3	3280	3510	2229	1970	2449	1870	1304	1442
ABCD4	84	85	99	137	106	109	99	66
ABCE1	1417	1997	2018	1900	2465	1775	2222	2198
ABCF1	503	380	528	560	541	477	566	493
ABCF2	1930	1306	1642	1740	1930	1541	1837	1494
ABCF3	700	556	647	775	715	728	734	609
ABCG1	696	808	249	465	767	526	1143	601
ABCG2	1	2	6	7	18	6	6	10
ABCG4	1	0	3	2	0	2	4	5
ABCG5	0	0	0	0	1	1	0	0
ABCG8	0	0	1	1	0	0	0	1
ABHD1	3	5	1	6	2	4	1	1
ABHD10	1074	948	641	701	1000	812	989	1002
ABHD11	1161	706	383	701	517	436	516	361
ABHD11-AS1	10	4	6	10	10	8	8	6
ABHD12	916	617	507	717	837	804	1106	934
ABHD12B	1	0	1	0	0	0	0	0
ABHD13	976	1093	1158	1119	1378	1140	831	1087
ABHD14A	30	14	19	35	59	34	76	57
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	185	136	103	104	139	142	122	103
ABHD15	148	104	150	148	183	131	178	123
ABHD16A	661	452	479	560	584	447	558	472
ABHD16B	7	4	4	9	5	7	0	1
ABHD17A	65	37	34	39	50	38	59	42
ABHD17B	517	502	553	585	821	635	659	775
ABHD17C	366	256	208	306	389	323	229	211
ABHD18	281	282	340	405	437	387	327	293
ABHD2	4262	5104	8330	10127	10535	7940	13573	11677
ABHD3	637	353	186	221	297	228	248	277
ABHD4	215	196	87	106	89	100	78	98
ABHD5	661	813	667	602	732	567	648	612
ABHD6	18	10	45	34	78	67	88	70
ABHD8	76	63	48	67	81	67	127	121
ABI1	1283	1162	801	928	1129	863	941	848
ABI2	1784	1453	1716	1865	2058	1743	2009	2008
ABI3	0	0	1	0	0	0	2	1
ABI3BP	3	10	25	21	27	43	44	48
ABL1	1258	1297	1233	1650	1709	1403	1505	1238
ABL2	2514	2531	2478	2796	3111	2708	1630	1650
ABLIM1	1682	1416	2230	2351	3282	2442	2531	2235
ABLIM2	29	19	89	110	121	83	116	103
ABLIM3	37	31	51	34	34	34	86	108
ABO	0	0	0	0	0	0	0	0
ABR	1072	777	671	817	1037	813	1119	1127
ABRA	1	2	1	0	0	0	0	0
ABRACL	198	178	222	298	287	233	206	202
ABT1	592	427	411	455	583	444	706	570
ABTB1	57	52	83	134	114	133	76	70
ABTB2	66	47	90	132	218	171	261	224
ACAA1	604	639	548	758	764	782	635	545
ACAA2	452	469	302	380	389	291	289	297
ACACA	3413	2570	2832	3496	3481	3126	2340	2147
ACACB	68	83	26	28	23	17	21	12
ACAD10	295	308	353	442	356	336	297	227
ACAD11	492	369	315	410	479	437	482	306
ACAD8	306	281	363	412	488	448	433	311
ACAD9	1231	1146	1396	1624	1402	1274	1163	862
ACADL	0	0	0	0	1	0	0	1
ACADM	373	386	345	372	458	367	299	354
ACADS	297	338	86	124	145	106	116	67
ACADSB	3231	2397	748	715	902	778	1303	1155
ACADVL	3290	1938	2198	2828	3045	2524	2619	1625
ACAN	1	0	1	0	0	0	0	0
ACAP1	6	3	7	5	5	4	8	7
ACAP2	1907	1693	1442	1592	1946	1624	1599	1597
ACAP3	265	279	621	718	851	690	516	383
ACAT1	315	276	252	301	296	235	304	279
ACAT2	595	545	440	419	423	335	372	371
ACBD3	4787	3240	3307	3653	4259	3675	4399	4461
ACBD4	140	116	60	95	103	85	148	118
ACBD5	1154	1231	691	734	969	810	1016	969
ACBD6	618	490	400	466	523	440	493	431
